OACI	LATITUDE	LONGITUDE	ALTITUDE
SBAA	8d20'55"S	49d18'11"W	199
SBAE	22d9'28"S	49d4'6"W	594
SBAQ	21d48'16"S	48d8'25"W	711
SBAR	10d59'7"S	37d4'24"W	7
SBAT	9d51'59"S	56d6'18"W	289
SBAU	21d8'39"S	50d25'35"W	415
SBAX	19d33'38"S	46d57'56"W	999
SBBE	1d23'5"S	48d28'44"W	17
SBBG	31d23'27"S	54d6'35"W	186
SBBH	19d51'7"S	43d57'2"W	789
SBBI	25d24'12"S	49d14'1"W	932
SBBP	22d58'45"S	46d32'15"W	893
SBBR	15d52'16"S	47d55'7"W	1066
SBBU	22d20'37"S	49d3'14"W	617
SBBV	2d50'29"N	60d41'32"W	84
SBBW	15d51'39"S	52d23'22"W	350
SBCA	25d0'8"S	53d30'7"W	754
SBCB	22d55'15"S	42d4'17"W	6,6
SBCD	26d47'23"S	50d56'23"W	1029
SBCF	19d37'28"S	43d58'19"W	827
SBCG	20d28'10"S	54d40'13"W	559
SBCH	27d8'2"S	52d39'43"W	654
SBCI	7d19'14"S	47d27'31"W	172
SBCJ	6d6'55"S	50d0'5"W	629
SBC	28d43'28"S	49d25'17"W	28
SBCN	17d43'29"S	48d36'36"W	685
SBCP	21d42'4"S	41d18'28"W	17
SBCR	19d0'43"S	57d40'17"W	141
SBCT	25d31'54"S	49d10'34"W	911
SSCV	17d39'2"S	39d15'16"W	11
SBCX	29d11'44"S	51d11'23"W	754
SBCY	15d39'0"S	56d7'3"W	188
SSCL	19d8'49"S	51d40'35"W	481
SBDB	21d14'50"S	56d27'9"W	334
SBDN	22d10'42"S	51d25'8"W	452
SBDO	22d12'2"S	54d55'32"W	458
SBEG	3d2'28"S	60d3'2"W	80
SBEK	6d14'7"S	57d46'33"W	99
SBFI	25d36'1"S	54d29'6"W	240
SBFL	27d40'13"S	48d33'9"W	5
SBFN	3d51'17"S	32d25'42"W	58
SBFZ	3d46'33"S	38d31'56"W	25
SBGL	22d48'36"S	43d15'2"W	9
SBG	10d47'18"S	65d16'54"W	146
SBGO	16d37'57"S	49d13'16"W	747
SBGR	23d26'8"S	46d28'23"W	750
SSGG	25d23'17"S	51d31'18"W	1065
SBGV	18d53'49"S	41d59'10"W	171
SBGW	22d47'30"S	45d12'16"W	537
SBHT	3d15'3"S	52d15'8"W	112
SBIC	3d7'35"S	58d28'54"W	43
SBIH	4d14'32"S	56d0'3"W	33
SBIL	14d48'54"S	39d2'0"W	4
SBIP	19d28'14"S	42d29'17"W	239
SBIZ	5d31'50"S	47d27'30"W	131
SBJC	1d24'54"S	48d27'32"W	16
SBJD	23d10'54"S	46d56'37"W	757
SBJF	21d47'35"S	43d23'8"W	911
SBJI	10d52'14"S	61d50'48"W	182
SBJP	7d8'54"S	34d57'1"W	66
SBJR	22d59'15"S	43d22'12"W	3
SBJU	7d13'9"S	39d16'10"W	409
SBJV	26d13'23"S	48d47'52"W	4
SBKG	7d16'9"S	35d53'42"W	502
SBKP	23d0'25"S	47d8'4"W	661
SBLE	12d28'56"S	41d16'37"W	506
SBLJ	27d46'56"S	50d16'54"W	934
SBLO	23d19'49"S	51d8'12"W	569
SBLP	13d15'41"S	43d24'27"W	443
SBA	5d22'5"S	49d8'17"W	109
SBD	0d53'23"S	52d36'8"W	206
SBE	22d20'34"S	41d45'50"W	2
SBG	23d28'46"S	52d0'44"W	545
SBK	16d42'22"S	43d49'19"W	668
SBL	22d11'44"S	49d55'37"W	650
SBO	9d31'2"S	35d47'1"W	118
SBQ	0d3'3"N	51d4'13"W	17
SBS	5d11'45"S	37d21'42"W	23
SBT	23d30'24"S	46d38'2"W	722
SBY	5d49'1"S	61d17'2"W	53
SBNF	26d52'43"S	48d39'3"W	5
SBN	28d16'54"S	54d10'6"W	322
SBOI	3d51'41"N	51d47'46"W	19
SBPA	29d59'38"S	51d10'16"W	4
SBPB	2d53'38"S	41d43'49"W	5
SBPC	21d50'16"S	46d33'58"W	1261
SBPF	28d14'43"S	52d19'43"W	724
SBPJ	10d17'24"S	48d21'28"W	236
SBPK	31d42'58"S	52d19'52"W	18
SBPL	9d22'3"S	40d33'49"W	384
SDPE	10d43'1"S	48d24'1"W	265
SBPP	22d32'59"S	55d42'9"W	657
SBPR	19d54'33"S	43d59'21"W	928
SBPS	16d26'17"S	39d4'40"W	51
SBPV	8d42'49"S	63d54'10"W	88
SBQV	14d51'49"S	40d51'47"W	915
SBRB	9d52'6"S	67d53'53"W	193
SBRD	16d35'17"S	54d43'18"W	447
SBRF	8d7'35"S	34d55'22"W	10
SBRJ	22d54'36"S	43d9'45"W	3
SBRP	21d8'11"S	47d46'36"W	550
SBSG	5d46'8"S	35d21'59"W	83
SBSJ	23d13'44"S	45d52'16"W	647
SBSL	2d35'13"S	44d14'10"W	54
SBS	29d42'39"S	53d41'32"W	88
SBSN	2d25'29"S	54d47'9"W	60
SBSP	23d37'34"S	46d39'23"W	802
SBSR	20d48'58"S	49d24'17"W	544
SBSV	12d54'31"S	38d19'21"W	20
SBTB	1d29'4"S	56d23'57"W	87
SBTD	24d41'7"S	53d41'47"W	562
SBTE	5d3'38"S	42d49'28"W	67
SBTF	3d22'49"S	64d43'31"W	57
SBTG	20d45'5"S	51d40'49"W	324
SBTK	8d9'17"S	70d46'58"W	197
SBTR	29d24'36"S	49d48'37"W	8
SBTT	4d15'2"S	69d56'16"W	85
SBTU	3d46'37"S	49d43'11"W	253
SBUA	0d8'53"S	66d59'9"W	76
SBUF	9d24'4"S	38d15'4"W	269
SBUG	29d47'0"S	57d2'13"W	78
SBUL	18d53'1"S	48d13'31"W	943
SBUR	19d45'53"S	47d57'58"W	809
SBVG	21d35'20"S	45d28'24"W	922
SBVH	12d41'39"S	60d5'50"W	615
SBVT	20d15'29"S	40d17'11"W	3
SBZ	21d30'47"S	43d10'23"W	412
SDAA	22d20'13"S	47d21'30"W	685
SDAD	21d41'46"S	51d5'47"W	425
SDAE	22d35'1"S	47d53'46"W	566
SDAG	22d58'31"S	44d18'26"W	3
SDAI	22d45'19"S	47d16'5"W	611
SDA	22d51'33"S	47d6'29"W	612
SDBA	20d52'37"S	47d35'9"W	881
SDBB	20d54'1"S	48d28'25"W	592
SDBK	22d56'12"S	48d28'3"W	918
SDBY	22d4'7"S	48d42'21"W	486
SDCA	24d2'1"S	48d21'25"W	714
SDCG	3d28'14"S	68d55'27"W	102
SDCO	23d28'59"S	47d29'11"W	633
SDDN	20d55'33"S	51d23'2"W	380
SDDR	21d27'38"S	51d36'25"W	372
SDEP	21d46'32"S	52d9'47"W	297
SDET	23d6'17"S	47d43'28"W	501
SDFD	20d16'36"S	50d12'50"W	500
SDFX	9d9'27"S	40d56'15"W	405
SDGC	22d11'1"S	49d39'22"W	665
SDGR	21d15'47"S	50d39'11"W	400
SDIG	21d44'50"S	48d51'21"W	542
SDI	24d9'53"S	46d47'8"W	4
SDIV	20d22'31"S	47d46'7"W	623
SDJC	21d13'51"S	48d17'8"W	625
SDJO	20d35'36"S	47d50'32"W	651
SDJV	22d1'0"S	46d50'26"W	762
SDKE	13d46'38"S	44d27'52"W	670
SDKF	9d9'19"S	40d5'30"W	392
SDKJ	11d1'16"S	45d11'14"W	511
SDKK	21d29'14"S	47d2'2"W	651
SDLC	21d44'58"S	51d1'6"W	450
SDLE	13d34'59"S	41d47'27"W	1146
