IATA	lat	lon	ICAO	time_zone	name	city	country
'GKA'	-6.081689835	145.3919983	'AYGA'	'Pacific/Port_Moresby'	'Goroka Airport'	'Goroka'	'Papua New Guinea'
'MAG'	-5.207079887	145.7890015	'AYMD'	'Pacific/Port_Moresby'	'Madang Airport'	'Madang'	'Papua New Guinea'
'HGU'	-5.826789856	144.2960052	'AYMH'	'Pacific/Port_Moresby'	'Mount Hagen Kagamuga Airport'	'Mount Hagen'	'Papua New Guinea'
'LAE'	-6.569803	146.725977	'AYNZ'	'Pacific/Port_Moresby'	'Nadzab Airport'	'Nadzab'	'Papua New Guinea'
'POM'	-9.443380356	147.2200012	'AYPY'	'Pacific/Port_Moresby'	'Port Moresby Jacksons International Airport'	'Port Moresby'	'Papua New Guinea'
'WWK'	-3.583830118	143.6690063	'AYWK'	'Pacific/Port_Moresby'	'Wewak International Airport'	'Wewak'	'Papua New Guinea'
'UAK'	61.16049957	-45.42599869	'BGBW'	'America/Godthab'	'Narsarsuaq Airport'	'Narssarssuaq'	'Greenland'
'GOH'	64.19090271	-51.67810059	'BGGH'	'America/Godthab'	'Godthaab / Nuuk Airport'	'Godthaab'	'Greenland'
'SFJ'	67.0122219	-50.71160316	'BGSF'	'America/Godthab'	'Kangerlussuaq Airport'	'Sondrestrom'	'Greenland'
'THU'	76.53119659	-68.70320129	'BGTL'	'America/Thule'	'Thule Air Base'	'Thule'	'Greenland'
'AEY'	65.66000366	-18.0727005	'BIAR'	'Atlantic/Reykjavik'	'Akureyri Airport'	'Akureyri'	'Iceland'
'EGS'	65.28330231	-14.40139961	'BIEG'	'Atlantic/Reykjavik'	'Egilsstaðir Airport'	'Egilsstadir'	'Iceland'
'HFN'	64.295601	-15.2272	'BIHN'	'Atlantic/Reykjavik'	'Hornafjörður Airport'	'Hofn'	'Iceland'
'HZK'	65.952301	-17.426001	'BIHU'	'Atlantic/Reykjavik'	'Húsavík Airport'	'Husavik'	'Iceland'
'IFJ'	66.05809784	-23.13529968	'BIIS'	'Atlantic/Reykjavik'	'Ísafjörður Airport'	'Isafjordur'	'Iceland'
'KEF'	63.98500061	-22.60560036	'BIKF'	'Atlantic/Reykjavik'	'Keflavik International Airport'	'Keflavik'	'Iceland'
'PFJ'	65.555801	-23.965	'BIPA'	'Atlantic/Reykjavik'	'Patreksfjörður Airport'	'Patreksfjordur'	'Iceland'
'RKV'	64.12999725	-21.94059944	'BIRK'	'Atlantic/Reykjavik'	'Reykjavik Airport'	'Reykjavik'	'Iceland'
'SIJ'	66.133301	-18.9167	'BISI'	'Atlantic/Reykjavik'	'Siglufjörður Airport'	'Siglufjordur'	'Iceland'
'VEY'	63.42430115	-20.27890015	'BIVM'	'Atlantic/Reykjavik'	'Vestmannaeyjar Airport'	'Vestmannaeyjar'	'Iceland'
'YAM'	46.48500061	-84.50939941	'CYAM'	'America/Toronto'	'Sault Ste Marie Airport'	'Sault Sainte Marie'	'Canada'
'YAV'	50.0564003	-97.03250122	'CYAV'	'America/Winnipeg'	'Winnipeg / St. Andrews Airport'	'Winnipeg'	'Canada'
'YAW'	44.63970184	-63.49940109	'CYAW'	'America/Halifax'	'Halifax / CFB Shearwater Heliport'	'Halifax'	'Canada'
'YAY'	51.39189911	-56.08309937	'CYAY'	'America/St_Johns'	'St. Anthony Airport'	'St. Anthony'	'Canada'
'YAZ'	49.079833	-125.775583	'CYAZ'	'America/Vancouver'	'Tofino / Long Beach Airport'	'Tofino'	'Canada'
'YBB'	68.534401	-89.808098	'CYBB'	'America/Edmonton'	'Kugaaruk Airport'	'Pelly Bay'	'Canada'
'YBC'	49.13249969	-68.20439911	'CYBC'	'America/Toronto'	'Baie Comeau Airport'	'Baie Comeau'	'Canada'
