station,valid,tmpc,alti,mslp
SBRF,2017-09-01 00:00,25.00,30.06,M
SBSP,2017-09-01 00:00,15.00,30.33,M
SBPA,2017-09-01 00:00,17.00,30.27,M
SBCT,2017-09-01 00:00,12.00,30.36,M
SBGR,2017-09-01 00:00,15.00,30.33,M
SBSV,2017-09-01 00:00,24.00,30.09,M
SBRJ,2017-09-01 00:00,21.00,30.27,M
SBCF,2017-09-01 00:00,24.00,30.21,M
SBBR,2017-09-01 00:00,22.00,30.18,M
SBSP,2017-09-01 00:34,15.00,30.33,M
SBRJ,2017-09-01 01:00,21.00,30.27,M
SBPA,2017-09-01 01:00,16.00,30.27,M
SBBR,2017-09-01 01:00,19.00,30.18,M
SBSP,2017-09-01 01:00,15.00,30.33,M
SBCF,2017-09-01 01:00,22.00,30.24,M
SBGR,2017-09-01 01:00,16.00,30.33,M
SBCT,2017-09-01 01:00,13.00,30.36,M
SBRF,2017-09-01 01:00,25.00,30.06,M
SBSV,2017-09-01 01:00,24.00,30.12,M
SBSV,2017-09-01 02:00,25.00,30.12,M
SBSP,2017-09-01 02:00,15.00,30.36,M
SBRF,2017-09-01 02:00,26.00,30.06,M
SBGR,2017-09-01 02:00,16.00,30.33,M
SBRJ,2017-09-01 02:00,20.00,30.27,M
SBBR,2017-09-01 02:00,18.00,30.21,M
SBPA,2017-09-01 02:00,16.00,30.24,M
SBCF,2017-09-01 02:00,21.00,30.24,M
SBCT,2017-09-01 02:00,13.00,30.36,M
SBGR,2017-09-01 02:30,15.00,30.33,M
SBSV,2017-09-01 03:00,24.00,30.09,M
SBBR,2017-09-01 03:00,16.00,30.18,M
SBRJ,2017-09-01 03:00,20.00,30.27,M
SBRF,2017-09-01 03:00,25.00,30.03,M
SBPA,2017-09-01 03:00,16.00,30.24,M
SBSP,2017-09-01 03:00,15.00,30.33,M
SBGR,2017-09-01 03:00,15.00,30.33,M
SBCF,2017-09-01 03:00,20.00,30.24,M
SBCT,2017-09-01 03:00,13.00,30.36,M
SBPA,2017-09-01 04:00,16.00,30.24,M
SBGR,2017-09-01 04:00,15.00,30.33,M
SBCF,2017-09-01 04:00,19.00,30.24,M
SBBR,2017-09-01 04:00,15.00,30.15,M
SBRJ,2017-09-01 04:00,20.00,30.27,M
SBSP,2017-09-01 04:00,15.00,30.33,M
SBSV,2017-09-01 04:00,24.00,30.09,M
SBRF,2017-09-01 04:00,25.00,30.03,M
SBCT,2017-09-01 04:00,13.00,30.36,M
SBPA,2017-09-01 05:00,15.00,30.21,M
SBGR,2017-09-01 05:00,15.00,30.33,M
SBSV,2017-09-01 05:00,24.00,30.09,M
SBCF,2017-09-01 05:00,19.00,30.21,M
SBSP,2017-09-01 05:00,15.00,30.33,M
SBBR,2017-09-01 05:00,16.00,30.15,M
SBRJ,2017-09-01 05:00,20.00,30.24,M
SBCT,2017-09-01 05:00,13.00,30.33,M
SBRF,2017-09-01 05:00,25.00,30.03,M
SBSP,2017-09-01 05:31,15.00,30.33,M
SBSP,2017-09-01 05:45,15.00,30.30,M
SBGR,2017-09-01 06:00,16.00,30.30,M
SBSV,2017-09-01 06:00,24.00,30.09,M
SBCF,2017-09-01 06:00,17.00,30.21,M
SBPA,2017-09-01 06:00,15.00,30.21,M
SBBR,2017-09-01 06:00,15.00,30.12,M
SBCT,2017-09-01 06:00,13.00,30.33,M
SBRJ,2017-09-01 06:00,19.00,30.24,M
SBRF,2017-09-01 06:00,25.00,30.03,M
SBSP,2017-09-01 06:01,15.00,30.30,M
SBSP,2017-09-01 06:24,15.00,30.30,M
SBSP,2017-09-01 06:31,15.00,30.30,M
SBRJ,2017-09-01 06:35,19.00,M,M
SBSP,2017-09-01 06:43,15.00,30.30,M
SBBR,2017-09-01 07:00,12.00,30.12,M
SBSP,2017-09-01 07:00,15.00,30.33,M
SBSV,2017-09-01 07:00,24.00,30.09,M
SBCF,2017-09-01 07:00,17.00,30.21,M
SBRF,2017-09-01 07:00,25.00,30.03,M
SBRJ,2017-09-01 07:00,19.00,30.24,M
SBGR,2017-09-01 07:00,16.00,30.30,M
SBCT,2017-09-01 07:00,13.00,30.33,M
SBPA,2017-09-01 07:00,14.00,30.21,M
SBSP,2017-09-01 07:06,15.00,30.33,M
SBSP,2017-09-01 07:18,15.00,30.30,M
SBRJ,2017-09-01 08:00,18.00,30.27,M
SBCT,2017-09-01 08:00,13.00,30.33,M
SBBR,2017-09-01 08:00,14.00,30.15,M
SBSP,2017-09-01 08:00,15.00,30.33,M
SBGR,2017-09-01 08:00,16.00,30.30,M
SBRF,2017-09-01 08:00,25.00,30.03,M
SBPA,2017-09-01 08:00,15.00,30.18,M
SBSV,2017-09-01 08:00,23.00,30.09,M
SBCF,2017-09-01 08:00,16.00,30.18,M
SBRJ,2017-09-01 08:15,18.00,30.27,M
SBSP,2017-09-01 08:19,15.00,30.33,M
SBSP,2017-09-01 08:21,15.00,30.33,M
SBSP,2017-09-01 08:32,15.00,30.33,M
SBBR,2017-09-01 09:00,16.00,30.18,M
SBCF,2017-09-01 09:00,16.00,30.27,M
SBSP,2017-09-01 09:00,15.00,30.33,M
SBSV,2017-09-01 09:00,24.00,30.12,M
SBRJ,2017-09-01 09:00,19.00,30.27,M
SBCT,2017-09-01 09:00,13.00,30.36,M
SBPA,2017-09-01 09:00,15.00,30.18,M
SBGR,2017-09-01 09:00,16.00,30.33,M
